# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.411986701190471649e-02 5.345788002014160156e-01 2.312941104173660278e-02 0.000000000000000000e+00
1.000000000000000000e+03 3.954872954636812210e-03 1.988296769559383392e-02 3.305696183815598488e-03 0.000000000000000000e+00
2.000000000000000000e+03 2.385013649472966790e-04 4.963979590684175491e-04 2.050667972071096301e-04 0.000000000000000000e+00
3.000000000000000000e+03 9.929397492669522762e-05 1.386251969961449504e-04 9.151052654488012195e-05 0.000000000000000000e+00
4.000000000000000000e+03 7.699413981754332781e-05 7.519471546402201056e-05 7.640644616913050413e-05 0.000000000000000000e+00
5.000000000000000000e+03 3.296114664408378303e-05 4.257075488567352295e-05 3.084322088398039341e-05 0.000000000000000000e+00
6.000000000000000000e+03 2.222287366748787463e-05 2.860295171558391303e-05 2.083838626276701689e-05 0.000000000000000000e+00
7.000000000000000000e+03 1.639158654143102467e-05 2.004238740482833236e-05 1.554669506731443107e-05 0.000000000000000000e+00
8.000000000000000000e+03 5.341198630048893392e-05 2.422223951725754887e-05 5.119145862408913672e-05 0.000000000000000000e+00
9.000000000000000000e+03 1.154233541456051171e-05 1.155710924649611115e-05 1.116625298891449347e-05 0.000000000000000000e+00
1.000000000000000000e+04 1.083666302292840555e-05 9.676987247075885534e-06 1.066367804014589638e-05 0.000000000000000000e+00
1.000000000000000000e+04 1.083666302292840555e-05 9.676987247075885534e-06 1.066367804014589638e-05 0.000000000000000000e+00
1.100000000000000000e+04 8.509838949066761415e-07 3.627150704232917633e-07 1.066367804014589638e-05 0.000000000000000000e+00
1.116100000000000000e+04 7.627416493960481603e-07 2.741473394962667953e-07 7.206371037682401948e-07 0.000000000000000000e+00
